,address,data,fidelity,valid_portion,select
78,++,1110,0.7543956295193543,0.643449449915588,True
79,++,1111,0.7539348534484572,0.6563130767475902,True
64,++,0000,0.7463202000068067,0.6494660948623066,True
65,++,0001,0.7322515502163746,0.639409074136573,True
66,++,0010,0.771524038587209,0.663873981658636,True
68,++,0100,0.7454353510594026,0.6512447673423069,True
69,++,0101,0.7504750737849952,0.6512170706616758,True
70,++,0110,0.7485332789090672,0.6591618200899909,True
71,++,0111,0.7058106116555597,0.6477430371703508,True
72,++,1000,0.7742091017204099,0.6585286388514916,True
73,++,1001,0.7523857861808864,0.6540188982246358,True
74,++,1010,0.771643855603682,0.6716279417129746,True
75,++,1011,0.7737879493772872,0.6836403686712401,True
76,++,1100,0.7335099377374246,0.6735407467293073,True
77,++,1101,0.7485904529889651,0.666604209814866,True
208,++,0000,0.5941466941239905,1.0,False
67,++,0011,0.7409635803376027,0.6755823967997595,True
